--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:10.583 | Frame 7] Detected FIRE: FIRE 0.46 at [663,83,979,313] conf: 0.46
[2025-07-16 19:58:11.088 | Frame 8] Detected HUMAN: Person 0.93 at [182,381,371,680] conf: 0.93
[2025-07-16 19:58:11.088 | Frame 8] Detected HUMAN: Person 0.93 at [353,378,537,679] conf: 0.93
[2025-07-16 19:58:11.088 | Frame 8] Detected VEHICLE: Car 0.91 at [1026,512,1213,654] conf: 0.91
[2025-07-16 19:58:11.088 | Frame 8] Detected VEHICLE: Car 0.90 at [823,510,1053,650] conf: 0.90
[2025-07-16 19:58:11.088 | Frame 8] Detected VEHICLE: Truck 0.89 at [580,467,828,653] conf: 0.89
[2025-07-16 19:58:11.088 | Frame 8] Detected FIRE: FIRE 0.79 at [262,223,426,283] conf: 0.79
[2025-07-16 19:58:11.088 | Frame 8] Detected FIRE: FIRE 0.78 at [658,82,838,275] conf: 0.78
[2025-07-16 19:58:11.088 | Frame 8] Detected FIRE: FIRE 0.41 at [658,78,973,309] conf: 0.41
[2025-07-16 19:58:11.088 | Frame 8] IR mode enabled.
[2025-07-16 19:58:11.595 | Frame 9] Detected HUMAN: Person 0.94 at [355,375,534,680] conf: 0.94
[2025-07-16 19:58:11.595 | Frame 9] Detected HUMAN: Person 0.93 at [184,379,372,680] conf: 0.93
[2025-07-16 19:58:11.595 | Frame 9] Detected VEHICLE: Car 0.92 at [1028,511,1213,651] conf: 0.92
[2025-07-16 19:58:11.595 | Frame 9] Detected VEHICLE: Car 0.89 at [819,506,1053,650] conf: 0.89
[2025-07-16 19:58:11.595 | Frame 9] Detected VEHICLE: Truck 0.77 at [581,467,831,654] conf: 0.77
[2025-07-16 19:58:11.595 | Frame 9] Detected FIRE: FIRE 0.55 at [683,136,831,265] conf: 0.55
[2025-07-16 19:58:12.102 | Frame 10] Detected HUMAN: Person 0.94 at [355,375,534,680] conf: 0.94
[2025-07-16 19:58:12.102 | Frame 10] Detected HUMAN: Person 0.93 at [184,379,372,680] conf: 0.93
[2025-07-16 19:58:12.102 | Frame 10] Detected VEHICLE: Car 0.92 at [1028,511,1213,651] conf: 0.92
[2025-07-16 19:58:12.102 | Frame 10] Detected VEHICLE: Car 0.89 at [819,506,1053,650] conf: 0.89
[2025-07-16 19:58:12.102 | Frame 10] Detected VEHICLE: Truck 0.77 at [581,467,831,654] conf: 0.77
[2025-07-16 19:58:12.102 | Frame 10] Detected FIRE: FIRE 0.57 at [683,136,831,265] conf: 0.57
[2025-07-16 19:58:12.622 | Frame 11] Detected HUMAN: Person 0.94 at [357,375,535,679] conf: 0.94
[2025-07-16 19:58:12.622 | Frame 11] Detected VEHICLE: Car 0.92 at [1029,509,1213,649] conf: 0.92
[2025-07-16 19:58:12.622 | Frame 11] Detected HUMAN: Person 0.92 at [185,378,369,680] conf: 0.92
[2025-07-16 19:58:12.622 | Frame 11] Detected VEHICLE: Car 0.89 at [818,505,1053,650] conf: 0.89
[2025-07-16 19:58:12.622 | Frame 11] Detected VEHICLE: Truck 0.79 at [580,467,831,646] conf: 0.79
