--- Detection Log Started: 2025-07-16 19:19:52 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
Base Model: yolov8x.pt
Fire Model: yolofirenew.pt
--------------------------------------------------
[2025-07-16 19:19:53.197 | Frame 0] Base YOLO model loaded: yolov8x.pt
[2025-07-16 19:19:58.857 | Frame 7] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [181, 383, 370, 679])
[2025-07-16 19:19:58.857 | Frame 7] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [352, 379, 532, 680])
[2025-07-16 19:19:58.857 | Frame 7] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 513, 1213, 655])
[2025-07-16 19:19:58.857 | Frame 7] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 466, 827, 654])
[2025-07-16 19:19:58.857 | Frame 7] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [823, 511, 1053, 649])
[2025-07-16 19:19:58.857 | Frame 7] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [265, 225, 433, 286])
[2025-07-16 19:19:58.857 | Frame 7] Detected FIRE: FIRE 0.76 (Conf: 0.76, BBox: [667, 90, 835, 284])
[2025-07-16 19:19:58.857 | Frame 7] Detected FIRE: FIRE 0.46 (Conf: 0.46, BBox: [663, 83, 979, 313])
[2025-07-16 19:19:59.385 | Frame 8] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [182, 381, 371, 680])
[2025-07-16 19:19:59.385 | Frame 8] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [353, 378, 537, 679])
[2025-07-16 19:19:59.385 | Frame 8] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 512, 1213, 654])
[2025-07-16 19:19:59.385 | Frame 8] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [823, 510, 1053, 650])
[2025-07-16 19:19:59.385 | Frame 8] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 467, 828, 653])
[2025-07-16 19:19:59.385 | Frame 8] Detected FIRE: FIRE 0.79 (Conf: 0.79, BBox: [262, 223, 426, 283])
[2025-07-16 19:19:59.385 | Frame 8] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [658, 82, 838, 275])
[2025-07-16 19:19:59.385 | Frame 8] Detected FIRE: FIRE 0.41 (Conf: 0.41, BBox: [658, 78, 973, 309])
