--- Detection Log Started: 2025-07-16 19:11:39 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
Base Model: yolov8x.pt
Fire Model: yolofirenew.pt
--------------------------------------------------
[2025-07-16 19:11:39.462 | Frame 0] Base YOLO model loaded: yolov8x.pt
[2025-07-16 19:11:39.462 | Frame 0] YOLOfire model loaded: yolofirenew.pt
[2025-07-16 19:11:39.463 | Frame 0] Found 'Fire' class ID: 0 in fire model.
[2025-07-16 19:11:41.872 | Frame 1] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1024, 521, 1213, 661])
[2025-07-16 19:11:41.872 | Frame 1] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [345, 387, 531, 679])
[2025-07-16 19:11:41.872 | Frame 1] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [169, 389, 366, 679])
[2025-07-16 19:11:41.872 | Frame 1] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [821, 519, 1050, 659])
[2025-07-16 19:11:41.872 | Frame 1] Detected VEHICLE: Truck 0.87 (Conf: 0.87, BBox: [578, 472, 824, 662])
[2025-07-16 19:11:41.872 | Frame 1] Detected FIRE: FIRE 0.80 (Conf: 0.80, BBox: [269, 221, 408, 291])
[2025-07-16 19:11:41.872 | Frame 1] Detected FIRE: FIRE 0.67 (Conf: 0.67, BBox: [694, 125, 804, 290])
[2025-07-16 19:11:41.872 | Frame 1] Alert Triggered: ALERT: FIRE DETECTED!
[2025-07-16 19:11:42.458 | Frame 2] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1024, 520, 1213, 659])
[2025-07-16 19:11:42.458 | Frame 2] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [172, 388, 368, 679])
[2025-07-16 19:11:42.470 | Frame 2] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [346, 385, 537, 679])
[2025-07-16 19:11:42.470 | Frame 2] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [821, 518, 1051, 658])
[2025-07-16 19:11:42.470 | Frame 2] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [578, 475, 825, 661])
[2025-07-16 19:11:42.470 | Frame 2] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [265, 218, 406, 292])
[2025-07-16 19:11:42.470 | Frame 2] Detected FIRE: FIRE 0.52 (Conf: 0.52, BBox: [700, 124, 808, 305])
[2025-07-16 19:11:42.975 | Frame 3] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [176, 387, 368, 679])
[2025-07-16 19:11:42.975 | Frame 3] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [349, 382, 533, 679])
[2025-07-16 19:11:42.991 | Frame 3] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 517, 1213, 658])
[2025-07-16 19:11:42.991 | Frame 3] Detected VEHICLE: Truck 0.90 (Conf: 0.90, BBox: [579, 472, 826, 658])
[2025-07-16 19:11:42.991 | Frame 3] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [822, 513, 1051, 655])
[2025-07-16 19:11:42.991 | Frame 3] Detected FIRE: FIRE 0.72 (Conf: 0.72, BBox: [271, 232, 410, 288])
[2025-07-16 19:11:42.991 | Frame 3] Detected FIRE: FIRE 0.40 (Conf: 0.40, BBox: [530, 99, 817, 310])
[2025-07-16 19:11:42.991 | Frame 3] Detected FIRE: FIRE 0.31 (Conf: 0.31, BBox: [527, 98, 955, 313])
[2025-07-16 19:11:43.515 | Frame 4] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [176, 387, 369, 679])
[2025-07-16 19:11:43.515 | Frame 4] Detected HUMAN: Person 0.91 (Conf: 0.91, BBox: [349, 383, 535, 678])
[2025-07-16 19:11:43.515 | Frame 4] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 517, 1213, 658])
[2025-07-16 19:11:43.515 | Frame 4] Detected VEHICLE: Truck 0.91 (Conf: 0.91, BBox: [579, 472, 826, 658])
[2025-07-16 19:11:43.515 | Frame 4] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [822, 513, 1051, 654])
[2025-07-16 19:11:43.515 | Frame 4] Detected FIRE: FIRE 0.72 (Conf: 0.72, BBox: [271, 232, 408, 287])
[2025-07-16 19:11:44.038 | Frame 5] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [350, 381, 531, 679])
[2025-07-16 19:11:44.038 | Frame 5] Detected VEHICLE: Car 0.92 (Conf: 0.92, BBox: [1026, 516, 1213, 657])
[2025-07-16 19:11:44.038 | Frame 5] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [176, 385, 368, 679])
[2025-07-16 19:11:44.038 | Frame 5] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [822, 514, 1052, 653])
[2025-07-16 19:11:44.038 | Frame 5] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 472, 826, 655])
[2025-07-16 19:11:44.038 | Frame 5] Detected FIRE: FIRE 0.77 (Conf: 0.77, BBox: [269, 230, 416, 288])
[2025-07-16 19:11:44.038 | Frame 5] Detected FIRE: FIRE 0.43 (Conf: 0.43, BBox: [632, 92, 821, 306])
[2025-07-16 19:11:44.528 | Frame 6] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [181, 383, 370, 679])
[2025-07-16 19:11:44.528 | Frame 6] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [352, 379, 533, 680])
[2025-07-16 19:11:44.528 | Frame 6] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 513, 1213, 655])
[2025-07-16 19:11:44.528 | Frame 6] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 466, 827, 654])
[2025-07-16 19:11:44.528 | Frame 6] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [823, 511, 1053, 649])
[2025-07-16 19:11:44.528 | Frame 6] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [265, 225, 433, 286])
[2025-07-16 19:11:44.528 | Frame 6] Detected FIRE: FIRE 0.75 (Conf: 0.75, BBox: [667, 90, 835, 284])
[2025-07-16 19:11:44.528 | Frame 6] Detected FIRE: FIRE 0.44 (Conf: 0.44, BBox: [661, 84, 978, 312])
[2025-07-16 19:11:45.049 | Frame 7] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [181, 383, 370, 679])
[2025-07-16 19:11:45.049 | Frame 7] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [352, 379, 532, 680])
[2025-07-16 19:11:45.049 | Frame 7] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 513, 1213, 655])
[2025-07-16 19:11:45.049 | Frame 7] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 466, 827, 654])
[2025-07-16 19:11:45.049 | Frame 7] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [823, 511, 1053, 649])
[2025-07-16 19:11:45.049 | Frame 7] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [265, 225, 433, 286])
[2025-07-16 19:11:45.049 | Frame 7] Detected FIRE: FIRE 0.76 (Conf: 0.76, BBox: [667, 90, 835, 284])
[2025-07-16 19:11:45.049 | Frame 7] Detected FIRE: FIRE 0.46 (Conf: 0.46, BBox: [663, 83, 979, 313])
[2025-07-16 19:11:45.561 | Frame 8] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [182, 381, 371, 680])
[2025-07-16 19:11:45.561 | Frame 8] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [353, 378, 537, 679])
[2025-07-16 19:11:45.561 | Frame 8] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1026, 512, 1213, 654])
[2025-07-16 19:11:45.561 | Frame 8] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [823, 510, 1053, 650])
[2025-07-16 19:11:45.561 | Frame 8] Detected VEHICLE: Truck 0.89 (Conf: 0.89, BBox: [580, 467, 828, 653])
[2025-07-16 19:11:45.561 | Frame 8] Detected FIRE: FIRE 0.79 (Conf: 0.79, BBox: [262, 223, 426, 283])
[2025-07-16 19:11:45.561 | Frame 8] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [658, 82, 838, 275])
[2025-07-16 19:11:45.561 | Frame 8] Detected FIRE: FIRE 0.41 (Conf: 0.41, BBox: [658, 78, 973, 309])
[2025-07-16 19:11:46.126 | Frame 9] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [355, 375, 539, 680])
[2025-07-16 19:11:46.126 | Frame 9] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [185, 380, 371, 679])
[2025-07-16 19:11:46.126 | Frame 9] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1027, 510, 1213, 652])
[2025-07-16 19:11:46.126 | Frame 9] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [823, 507, 1053, 644])
[2025-07-16 19:11:46.126 | Frame 9] Detected VEHICLE: Truck 0.87 (Conf: 0.87, BBox: [581, 465, 830, 651])
[2025-07-16 19:11:46.126 | Frame 9] Detected FIRE: FIRE 0.80 (Conf: 0.80, BBox: [262, 220, 424, 281])
[2025-07-16 19:11:46.126 | Frame 9] Detected FIRE: FIRE 0.61 (Conf: 0.61, BBox: [701, 143, 832, 265])
[2025-07-16 19:11:46.126 | Frame 9] Detected FIRE: FIRE 0.52 (Conf: 0.52, BBox: [698, 96, 839, 267])
[2025-07-16 19:11:46.692 | Frame 10] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [355, 375, 539, 680])
[2025-07-16 19:11:46.692 | Frame 10] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [185, 380, 371, 679])
[2025-07-16 19:11:46.692 | Frame 10] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1027, 510, 1213, 652])
[2025-07-16 19:11:46.692 | Frame 10] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [823, 507, 1053, 644])
[2025-07-16 19:11:46.692 | Frame 10] Detected VEHICLE: Truck 0.87 (Conf: 0.87, BBox: [581, 465, 830, 651])
[2025-07-16 19:11:46.692 | Frame 10] Detected FIRE: FIRE 0.80 (Conf: 0.80, BBox: [262, 219, 426, 282])
[2025-07-16 19:11:46.692 | Frame 10] Detected FIRE: FIRE 0.61 (Conf: 0.61, BBox: [700, 137, 833, 265])
[2025-07-16 19:11:46.692 | Frame 10] Detected FIRE: FIRE 0.52 (Conf: 0.52, BBox: [698, 91, 840, 267])
[2025-07-16 19:11:47.254 | Frame 11] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [356, 374, 542, 680])
[2025-07-16 19:11:47.254 | Frame 11] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [186, 379, 364, 679])
[2025-07-16 19:11:47.254 | Frame 11] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1028, 509, 1213, 650])
[2025-07-16 19:11:47.254 | Frame 11] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [823, 506, 1054, 643])
[2025-07-16 19:11:47.254 | Frame 11] Detected VEHICLE: Truck 0.88 (Conf: 0.88, BBox: [581, 464, 830, 648])
[2025-07-16 19:11:47.254 | Frame 11] Detected FIRE: FIRE 0.81 (Conf: 0.81, BBox: [259, 217, 431, 281])
[2025-07-16 19:11:47.254 | Frame 11] Detected FIRE: FIRE 0.47 (Conf: 0.47, BBox: [714, 189, 845, 260])
[2025-07-16 19:11:47.802 | Frame 12] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [188, 378, 369, 679])
[2025-07-16 19:11:47.802 | Frame 12] Detected HUMAN: Person 0.92 (Conf: 0.92, BBox: [356, 373, 541, 680])
[2025-07-16 19:11:47.802 | Frame 12] Detected VEHICLE: Car 0.91 (Conf: 0.91, BBox: [1027, 509, 1213, 651])
[2025-07-16 19:11:47.802 | Frame 12] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [824, 504, 1054, 644])
[2025-07-16 19:11:47.802 | Frame 12] Detected VEHICLE: Truck 0.85 (Conf: 0.85, BBox: [582, 462, 831, 647])
[2025-07-16 19:11:47.802 | Frame 12] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [258, 214, 426, 279])
[2025-07-16 19:11:47.802 | Frame 12] Detected FIRE: FIRE 0.65 (Conf: 0.65, BBox: [728, 182, 828, 260])
[2025-07-16 19:11:48.338 | Frame 13] Detected HUMAN: Person 0.93 (Conf: 0.93, BBox: [189, 378, 374, 679])
[2025-07-16 19:11:48.338 | Frame 13] Detected VEHICLE: Car 0.90 (Conf: 0.90, BBox: [1031, 508, 1213, 651])
[2025-07-16 19:11:48.338 | Frame 13] Detected HUMAN: Person 0.90 (Conf: 0.90, BBox: [356, 373, 539, 679])
[2025-07-16 19:11:48.338 | Frame 13] Detected VEHICLE: Car 0.89 (Conf: 0.89, BBox: [824, 504, 1054, 643])
[2025-07-16 19:11:48.338 | Frame 13] Detected VEHICLE: Truck 0.88 (Conf: 0.88, BBox: [583, 462, 831, 645])
[2025-07-16 19:11:48.338 | Frame 13] Detected FIRE: FIRE 0.78 (Conf: 0.78, BBox: [259, 208, 427, 278])
